# left right cach nhau 100
# moi Mario cach nhau 1000
# id	file_path	transparent_color_r	g	b
[TEXTURES]
10	textures\worldmap1_obj_sprite.png	0	0	255
11	textures\worldmap1_obj_sprite.png	248	236	160
100	textures\tileworldmap1.png	255	255	255
60	textures\hud-font.png	0	224	142
-101	textures\bbox_black.png	255	255	255

# name_file	tex_id	width	height
[MAP]
maps\worldmap1.txt	100	256	176

# id	left	top	right	bottom	texture_id	xD	yD
[SPRITES]
#	-----------------------------------------------------------
# === BLACK BBOX
90001	0	0	320	280	-101

# MARIO 
# walk
10001	138	50	152	66	10		
10002	155	50	169	66	10

# HAMMER
20001	103	17	119	32	10
20002	120	17	136	32	10

# BUSH
30001	1	17	17	32	11
30002	18	17	34	32	11
30003	35	17	51	32	11
30004	52	17	68	32	11

# CASTLE HELP
40001	18	2	34	16	10

# === HUD
55001	11	127	165	157	60
55002	171	127	245	157	60
# Icon Mario
55003	15	160	33	169	60
# Icon Lugi
55004	15	170	33	179	60
# Power filled arrow
55005	63	161	72	170	60
# Power filled icon-P
55006	72	161	88	170	60
# Power empty arrow
55007	90	161	99	170	60
# Power empty icon-P
55008	99	161	116	170	60
# Empty card
55009	160	159	183	186	60
# Mushroom card
55010	184	160	208	186	60
# Fire flower card
55011	208	160	232	186	60
# Star card
55012	232	160	256	186	60
# Font - 0
55013	76	30	86	40	60
# Font - 1
55014	86	30	96	40	60
# Font - 2
55015	96	30	106	40	60
# Font - 3
55016	106	30	116	40	60
# Font - 4
55017	116	30	126	40	60
# Font - 5
55018	126	30	136	40	60
# Font - 6
55019	136	30	146	40	60
# Font - 7
55020	146	30	156	40	60
# Font - 8
55021	156	30	166	40	60
# Font - 9
55022	166	30	176	40	60
# Font - A
55023	176	30	186	40	60
# Font - B
55024	186	30	196	40	60
# Font - C
55025	76	40	86	50	60
# Font - D
55026	86	40	96	50	60
# Font - E
55027	96	40	106	50	60
# Font - F
55028	106	40	116	50	60
# Font - G
55029	116	40	126	50	60
# Font - H
55030	126	40	136	50	60
# Font - I
55031	136	40	146	50	60
# Font - J
55032	146	40	156	50	60
# Font - K
55033	156	40	166	50	60
# Font - L
55034	166	40	176	50	60
# Font - M
55035	176	40	186	50	60
# Font - N
55036	186	40	196	50	60
# Font - O
55037	76	50	86	60	60
# Font - P
55038	86	50	96	60	60
# Font - Q
55039	96	50	106	60	60
# Font - R
55040	106	50	116	60	60
# Font - S
55041	116	50	126	60	60
# Font - T
55042	126	50	136	60	60
# Font - U
55043	136	50	146	60	60
# Font - V
55044	146	50	156	60	60
# Font - W
55045	156	50	166	60	60
# Font - X
55046	166	50	176	60	60
# Font - Y
55047	176	50	186	60	60
# Font - Z
55048	186	50	196	60	60

						
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#	-----------------------------------------------------------
# ==== MARIO =========
# walk
10001	10001	100	10002	100

# ==== HAMMER =========
# walk
20001	20001	100	20002	100

# ==== BUSH =========
# stand
30001	30001	300	30002	300	30003	300	30004	300

# ==== CASTLE HELP =========
40001	40001	100

# === HUD
# Power
55001	55006	100	55008	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#	-----------------------------------------------------------

# MARIO
1	10001

# HAMMER
3	20001

# BUSH
2	30001

# CASTLE HELP
4	40001

[OBJECTS]
#	-----------------------------------------------------------------------
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 4 = Box

# CASTLE HELP
1	204	92	4

# HAMMER
2	160	110	3	158	172

# BUSH
3	16	12	2
3	32	12	2
3	48	12	2
3	16	28	2
3	32	28	2
3	48	28	2
3
3	16	60	2
3	32	60	2
3	32	76	2
3	48	60	2
3	16	76	2
3	16	76	2
3	48	76	2
3	16	92	2
3
3	80	28	2
3	96	28	2
3	112	28	2
3	80	44	2
3	96	44	2
3	112	44	2
3	80	60	2
3	96	60	2
3	112	60	2
3
3	144	28	2
3	160	28	2
3	176	28	2
3
3	208	14	2
3	224	14	2
3	208	28	2
3	224	28	2
3	208	44	2
3	224	44	2
3	208	60	2
3	224	60	2
3	144	60	2
3	160	60	2
3	176	60	2
3	192	60	2
3	224	76	2
3	224	92	2
3	224	108	2
3	224	124	2
3	224	140	2
3	144	76	2
3	160	76	2
3
3	128	92	2
3	112	92	2
3	96	92	2

# STATION
4	36	52	-1	0	0	0	1	0
4	72	52	-1	0	1	1	0	0
4	72	20	-1	1	0	0	1	1
4	104	20	-1	0	1	0	1	0
4	136	20	-1	0	1	0	1	1
4	168	20	-1	0	1	0	1	0
4	200	20	-1	0	1	0	0	1
4	136	52	-1	0	0	1	1	1
4	168	52	-1	2	1	0	1	0
4	200	52	-1	0	1	1	0	0
4	136	84	-1	0	1	1	0	0
4	104	84	-1	0	1	0	1	0
4	72	84	-1	0	0	0	1	1
4	104	116	-1	0	0	0	1	0
4	136	116	-1	0	1	0	1	1
4	168	116	-1	0	1	0	1	0
4	200	116	-1	0	1	0	0	0
4	72	116	-1	0	0	1	0	1
4	104	148	-1	0	1	0	1	0
4	136	148	-1	0	1	1	0	0
4	72	148	-1	0	0	1	1	0

# MARIO
0	33	44	1

# === HUD
51	0	0	-1
